researcher_id,organization_name,org_order
RS030,Nagoya City Institute For Environmental Sciences,1
RS030,King Mongkut's University of Technology North Bangkok,2
RS030,Chiang Mai University,3
RS030,Navamindradhiraj University,4
RS030,Prince of Songkla University,5
RS030,Kanazawa University,6
RS030,Noakhali Science and Technology University,7
RS030,Morgan State University,8
RS030,University of Phayao,9
RS030,Tulane University,10
RS030,Khon Kaen University,11
RS030,Gadjah Mada University,12
RS030,Abdul Wali Khan University Mardan,13
RS030,The Education University of Hong Kong,14
RS030,Beijing Normal University,15
RS030,Chulalongkorn University,16
RS030,Universiti Malaysia Terengganu,17
RS030,Universiti Teknologi MARA,18
RS030,Academia Sinica - Research Center for Environmental Changes,19
RS030,Academia Sinica Taiwan HQ,20
RS030,Universiti Kebangsaan Malaysia,21
RS030,Universiti Tun Hussein Onn Malaysia,22
RS030,Kasetsart University,23
RS030,Thammasat University,24
RS030,Thailand Institute of Scientific and Technological Research,25
RS030,Thaksin University,26
RS030,Universiti Sultan Zainal Abidin,27
RS030,University of Jambi,28
RS030,Universitas Andalas,29
RS030,Ton Duc Thang University,30
RS030,University of Peshawar,31
RS030,Edith Cowan University,32
RS030,Universitas Hasanuddin,33
RS030,Rajamangala University of Technology Lanna,34
RS030,Bandung Institute of Technology,35
RS030,Ewha Womans University,36
RS030,University of Portsmouth,37
RS030,Mahidol University,38
RS030,Nagasaki University,39
RS030,CSIC,40
RS030,Peking University,41
RS030,Seoul National University,42
RS030,European Commission,43
RS030,Indian Institute of Science Education and Research Bhopal,44
RS030,"Universidad Mayor de San Andrés, Bolivia",45
RS030,University of Kashmir,46
RS030,Aryabhatta Research Institute of Observational Sciences,47
RS030,Institut de recherche pour le développement,48
RS030,Paris-Est Sup,49
RS030,CNRS,50
RS030,Agence nationale pour la gestion des déchets radioactifs,51
RS030,Desert Research Institute,52
RS030,North West University,53
RS030,Ministry of Earth Sciences,54
RS030,National Institute of Public Health and the Environment,55
RS030,Swiss Federal Laboratories for Materials Science and Technology (Empa),56
RS030,Université Paris Cité,57
RS030,Université Paris-Est Créteil,58
RS030,Panjab University,59
RS030,United States Department of Energy,60
RS030,Leibniz Institute for Tropospheric Research,61
RS030,CSIC - Institute of Environmental Assessment and Water Research,62
RS030,Postgraduate Institute of Medical Education and Research,63
RS030,Indian Institute of Tropical Meteorology,64
RS030,Universidad Militar Nueva Granada,65
RS030,Graphic Era,66
RS030,Indian Institute of Technology Delhi,67
RS030,"Birla Institute of Technology, Mesra",68
RS030,Indian Institute of Technology Kanpur,69
RS030,European Commission Joint Research Centre Institute,70
RS030,Institut Mines-Télécom,71
RS030,Norwegian Institute for Air Research,72
RS030,Chinese Academy of Sciences,73
RS030,Jinan University,74
RS030,Université Grenoble Alpes,75
RS030,Bose Institute,76
RS030,CAS - Institute of Atmospheric Physics,77
RS030,Indian Institute of Technology Bombay,78
RS030,Institut polytechnique de Grenoble,79
RS030,Indian Institute of Science Education and Research Mohali,80
RS030,Brookhaven National Laboratory,81
RS030,National Oceanic and Atmospheric Administration,82
RS030,Indian Institute of Technology Hyderabad,83
RS030,Jagadguru Sri Shivarathreeswara Mahavidyapeetha,84
RS030,Maharshi Dayanand University,85
RS030,IMT Nord Europe,86
RS030,"Research Institute of Environment, Agriculture and Fisheries, Osaka Prefecture",87
RS030,Swansea University,88
RS022,University of Washington,1
RS022,Chiang Mai University,2
RS022,"Ministry of Higher Education, Science, Research and Innovation",3
RS022,Yunnan University,4
RS022,National Astronomical Research Institute of Thailand,5
RS022,Asian Disaster Preparedness Center,6
RS022,University of Chinese Academy of Sciences,7
